verb,sentence
bet,the doctor bet some flowers to cinderella.
bet,claire bet a book to the dog.
bet,you bet some food to jack.
bet,james bet a ball to you.
bet,tommy bet some cookies to john.
bet,nina bet the gift to her.
bet,emily bet a lot to a dog.
bet,he bet a spoon to teddy.
bet,she bet some money to jennifer.
bet,brian bet a present to a cat.
bet,jill bet an egg to mommy.
bet,paul bet something to him.
bet,santa bet some milk to grandma.
bet,emma bet the book to the cat.
bet,ryan bet it to jessica.
bet,they bet the ball to us.
bet,lucy bet a toy to daddy.
bet,charlie bet the scissors to them.
bet,felix bet a box to me.
bet,I bet the box to grandpa.
charged,he charged the gift to john.
charged,she charged some milk to jack.
charged,jill charged the scissors to jessica.
charged,nina charged some cookies to a cat.
charged,they charged the box to cinderella.
charged,tommy charged the ball to the dog.
charged,ryan charged a lot to daddy.
charged,the doctor charged a spoon to teddy.
charged,james charged an egg to them.
charged,lucy charged a box to a dog.
charged,emily charged a present to mommy.
charged,brian charged a book to grandma.
charged,paul charged some flowers to jennifer.
charged,I charged the book to grandpa.
charged,felix charged it to the cat.
charged,santa charged some money to you.
charged,you charged a ball to her.
charged,claire charged something to him.
charged,emma charged some food to us.
charged,charlie charged a toy to me.
cost,I cost a ball to a dog.
cost,jill cost some food to mommy.
cost,lucy cost the box to teddy.
cost,santa cost some flowers to her.
cost,you cost an egg to the cat.
cost,paul cost it to jessica.
cost,she cost a box to a cat.
cost,emma cost a book to him.
cost,james cost the book to the dog.
cost,brian cost a lot to jack.
cost,tommy cost some cookies to cinderella.
cost,he cost some milk to jennifer.
cost,the doctor cost some money to us.
cost,felix cost a spoon to john.
cost,charlie cost a toy to grandma.
cost,emily cost a present to daddy.
cost,nina cost the gift to grandpa.
cost,ryan cost something to them.
cost,claire cost the scissors to me.
cost,they cost the ball to you.
found,tommy found the scissors to a dog.
found,emily found some money to them.
found,emma found some milk to him.
found,ryan found the book to grandpa.
found,I found an egg to daddy.
found,brian found some cookies to cinderella.
found,the doctor found some flowers to the cat.
found,she found the gift to you.
found,paul found a spoon to jack.
found,claire found a book to her.
found,santa found it to grandma.
found,nina found the ball to jessica.
found,felix found some food to jennifer.
found,charlie found a present to teddy.
found,lucy found a box to a cat.
found,they found a toy to me.
found,you found a ball to the dog.
found,he found the box to mommy.
found,jill found a lot to us.
found,james found something to john.
saved,charlie saved the gift to john.
saved,james saved some flowers to cinderella.
saved,you saved some money to him.
saved,nina saved the scissors to grandma.
saved,brian saved a book to the cat.
saved,paul saved the box to jack.
saved,emily saved a lot to a dog.
saved,felix saved some food to the dog.
saved,emma saved a toy to a cat.
saved,santa saved it to her.
saved,ryan saved a present to you.
saved,he saved a spoon to jennifer.
saved,claire saved the book to jessica.
saved,jill saved a ball to teddy.
saved,they saved some cookies to daddy.
saved,I saved some milk to them.
saved,tommy saved a box to mommy.
saved,the doctor saved the ball to us.
saved,lucy saved an egg to me.
saved,she saved something to grandpa.
wished,felix wished some money to them.
wished,emma wished some milk to grandpa.
wished,nina wished some cookies to jennifer.
wished,ryan wished a book to a cat.
wished,paul wished the gift to her.
wished,james wished a toy to a dog.
wished,I wished the ball to jack.
wished,santa wished a spoon to you.
wished,you wished some food to me.
wished,the doctor wished the scissors to daddy.
wished,charlie wished a present to the dog.
wished,tommy wished a ball to cinderella.
wished,she wished some flowers to him.
wished,claire wished an egg to the cat.
wished,brian wished a lot to grandma.
wished,lucy wished the book to john.
wished,they wished something to us.
wished,jill wished a box to jessica.
wished,emily wished the box to teddy.
wished,he wished it to mommy.
