model,phenomenon,accuracy
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_determiner_noun-across_1_adjective,0.817
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_determiner_noun-between_neighbors,0.8235
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.5445
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_subject_verb-across_relative_clause,0.565
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_subject_verb-in_question_with_au,0.7945
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_subject_verb-in_simple_question,0.835
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,anaphor_agreement-pronoun_gender,0.78
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,argument_structure-dropped_argumen,0.8545
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,argument_structure-swapped_arguments,0.9755
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,argument_structure-transitive,0.605
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,binding-principle_a,0.7275
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,case-subjective_pronoun,0.9905
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,ellipsis-n_bar,0.3205
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,filler-gap-wh_question_objec,0.683
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,filler-gap-wh_question_subjec,0.923
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,irregular-verb,0.784
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,island-effects-adjunct_island,0.703
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,island-effects-coordinate_structure_constrain,0.8165
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,local_attractor-in_question_with_au,0.912
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,npi_licensing-matrix_question,0.8615
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,npi_licensing-only_npi_licensor,0.5275
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,quantifiers-existential_there,0.9105
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,quantifiers-superlative,0.7985
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,overall,0.7631521739130435
